Who established the Safavid Dynasty,"By the 1500s, Ismail I from Ardabil, established the Safavid Dynasty, with Tabriz as the capital.",400.txt
When did the Islamic Golden Age reach its zenith,"The Islamic Golden Age reached its peak by the 10th and 11th centuries, during which Iran was the main theater of the scientific activities.",400.txt
What delicacy is Iran famous for,Iran is also famous for its caviar.,400.txt
What Iranian nationalized industry has been noncompetitive and managed badly ,"However, nationalized industries such as the bonyads have often been managed badly, making them ineffective and uncompetitive with years.",400.txt
What was the Achaemenid Empire's official language,"In 334 BC, Alexander the Great invaded the Achaemenid Empire, defeating the last Achaemenid emperor, Darius III, at the Battle of Issus.",400.txt
The Council of Ministers is appointed and supervised by who,The Guardian Council comprises twelve jurists including six appointed by the Supreme Leader.,400.txt
In what era did Iranian visual art reach its peak,The Iranian visual arts reached a pinnacle by the Sassanid Era.,400.txt
What ancient civilization has majorly influenced the Fars Province,"The area was greatly influenced by the Babylonian civilization, and after the emergence of the ancient Persians, soon came to be known as Persis.",400.txt
Mount Damavand is located in what range,"The populous western part is the most mountainous, with ranges such as the Caucasus, Zagros and Alborz Mountains; the last contains Iran's highest point, Mount Damavand at 5,610 m (18,406 ft), which is also the highest mountain on the Eurasian landmass west of the Hindu Kush.",400.txt
What is Iran's highest mountain,"The populous western part is the most mountainous, with ranges such as the Caucasus, Zagros and Alborz Mountains; the last contains Iran's highest point, Mount Damavand at 5,610 m (18,406 ft), which is also the highest mountain on the Eurasian landmass west of the Hindu Kush.",400.txt
What is attested as a self-identifier in Iranian languages,"In Iranian languages, the gentilic is attested as a self-identifier included in ancient inscriptions and the literature of Avesta,[a] and remains also in other Iranian ethnic names such as Alans (Ossetic: Ир – Ir) and Iron (Ossetic: Ирон – Iron).",400.txt
When did the Safavid Empire peak,Safavid conversion of Iran from Sunnism to Shiism marked one of the most important turning points in Iranian and Muslim history.,400.txt
What is the annual precipitation in Iran's eastern plains,"Annual precipitation is 680 mm (26.8 in) in the eastern part of the plain and more than 1,700 mm (66.9 in) in the western part.",400.txt
What has the West historically referred Iran as,"Historically, Iran has been referred to as Persia by the West, due mainly to the writings of Greek historians who called Iran Persis (Greek: Περσίς), meaning ""land of the Persians.""",400.txt
Who is the Commander in Chief of the Iranian Army,"In 1737, in the final defeat of Mughal Empire, the commander-in-chief of the Mughal Army, Nizam-ul-mulk, was routed at Bhopal by the Maratha army.",304.txt
The Sassanid became a cornerstone of what type of learning,"The Sassanid art played a prominent role in the formation of both European and Asian medieval art, which carried forward to the Islamic world, and much of what later became known as Islamic learning, such as philology, literature, jurisprudence, philosophy, medicine, architecture, and science, were of Sassanid basis.",400.txt
What year did the Rashidun Arabs conquer Iran,"Initially defeated by the Arab Rashidun Caliphate, Iran came under the rule of the Arab caliphates of Umayyad and Abbasid.",400.txt
When did Iran open its first wind-powered plants,"In 2004, Iran opened its first wind-powered and geothermal plants, and the first solar thermal plant is to come online in 2009.",400.txt
What is Iran's most popular online social network,Instagram is the most popular online social networking service in Iran.,400.txt
Who is responsible for interpreting the Constitution,Calatrava is also responsible for the bridge named after him in the centre of the city.,160.txt
"In 1911, Russians occupied Northern Iran under what pretext","On the pretext of restoring order, the Russians occupied Northern Iran in 1911, and maintained a military presence in the region for years to come.",400.txt
Who seized the US Embassy in Iran in 1979,"On November 4, 1979, a group of students seized the United States Embassy and took the embassy with 52 personnel and citizens hostage, after the United States refused to return Mohammad Reza Pahlavi to Iran to face trial in the court of the new regime.",400.txt
What percentage of Iran speaks any type of Iranian language,Iranian scientists outside Iran have also made some major contributions to science.,400.txt
What city was the ritual center of the Archaemenids,"Persepolis was the ritual center of the ancient kingdom of Achaemenids, and the figures at Persepolis remain bound by the rules of grammar and syntax of visual language.",400.txt
The Iranina Islamic Republic is based on what document,"The political system of the Islamic Republic is based on the 1979 Constitution, and comprises several intricately connected governing bodies.",400.txt
What decade was significant to Iranian film,"The 1960s was a significant decade for Iranian cinema, with 25 commercial films produced annually on average throughout the early 60s, increasing to 65 by the end of the decade.",400.txt
What century did Iran lose the Caucasus to Russia,"During the 19th century, Iran irrevocably lost swaths of its territories in the Caucasus which made part of the concept of Iran for centuries, to neighboring Imperial Russia.",400.txt
Since when has Iran developed its domestic military infrastructure,Domestic tourism in Iran is one of the largest in the world.,400.txt
What city is Iran's capital,Iran's military doctrine is based on deterrence.,400.txt
Who founded the following Qajar Empire in 1794,"Another civil war ensued after the death of Karim Khan in 1779, out of which Aqa Mohammad Khan emerged, founding the Qajar Dynasty in 1794.",400.txt
What is the sixth most populous city of Iran,"Shiraz, with a population of around 1.4 million (2011 census), is the sixth major city of Iran.",400.txt
When did the Iran-Iraq War finally end,"On September 22, 1980, the Iraqi army invaded the Iranian Khuzestan, and the Iran–Iraq War began.",400.txt
Iranians usually eat what diet staple with lunch and dinner,Iranians usually eat plain yogurt with lunch and dinner; it is a staple of the diet in Iran.,400.txt
"In Iranian cuisine, what is habitually used with fruits ",Iranian cuisine is diverse due to its variety of ethnic groups and the influence of other cultures.,400.txt
What year did the Rashidun Arabs invade Iran,"Initially defeated by the Arab Rashidun Caliphate, Iran came under the rule of the Arab caliphates of Umayyad and Abbasid.",400.txt
What resulted from the Persian Revolt,The conquest of Media was a result of what is called the Persian Revolt.,400.txt
Iran's inflation led to what in 1975-1976,"By 1975 and 1976, an economic recession led to increased unemployment, especially among millions of youth who had migrated to the cities of Iran looking for construction jobs during the boom years of the early 1970s.",400.txt
What century did terms referencing Iran begin to be recorded,Most migrations begin with the birds starting off in a broad front.,109.txt
What is Iran's presumed 2nd largest ethnic group,"As with the spoken languages, the ethnic group composition also remains a point of debate, mainly regarding the largest and second largest ethnic groups, the Persians and Azerbaijanis, due to the lack of Iranian state censuses based on ethnicity.",400.txt
Who drove out the Pashtuns from Iran in 1729,"In 1729, Nader Shah, a chieftain and military genius from Khorasan, successfully drove out and conquered the Pashtun invaders.",400.txt
What is Iran's most advanced missile,"The Fajr-3 (MIRV) is currently Iran's most advanced ballistic missile, it is a liquid fuel missile with an undisclosed range which was developed and produced domestically.",400.txt
What is Iran's land mass in square miles,"The Safavid Era saw the start of mass integration from Caucasian populations into new layers of the society of Iran, as well as mass resettlement of them within the heartlands of Iran, playing a pivotal role in the history of Iran for centuries onwards.",400.txt
What is Iran's presumed largest ethnic group,"As with the spoken languages, the ethnic group composition also remains a point of debate, mainly regarding the largest and second largest ethnic groups, the Persians and Azerbaijanis, due to the lack of Iranian state censuses based on ethnicity.",400.txt
The Achaemenid Empire expanded into what part of Asia,"By 326 BC, Alexander the Great had conquered Asia Minor and the Achaemenid Empire and had reached the northwest frontiers of the Indian subcontinent.",304.txt
Who backed two puppet regimes in/around Iran during WWII,"The presence of so many foreign troops in the nation also culminated in the Soviet-backed establishment of two puppet regimes in the nation; the Azerbaijan People's Government, and the Republic of Mahabad.",400.txt
Who exercises exective powers in Iran,"With the Constitution of 1988 Brasília gained the right to elect its Governor, and a District Assembly (Câmara Legislativa) was elected to exercise legislative power.",428.txt
What Iranian film festival was created in 1973,"The continuous presence of Iranian films in prestigious international festivals, such as the Cannes Film Festival, the Venice Film Festival, and the Berlin International Film Festival, attracted world attention to Iranian masterpieces.",400.txt
What is Shiraz' population by the 2011 Census,"Shiraz, with a population of around 1.4 million (2011 census), is the sixth major city of Iran.",400.txt
When did Iran open its first geothermal plants,"In 2004, Iran opened its first wind-powered and geothermal plants, and the first solar thermal plant is to come online in 2009.",400.txt
When did the Arabs invade Iran,"In July 1982, with Iraq thrown on the defensive, Iran took the decision to invade Iraq and conducted countless offensives in a bid to conquer Iraqi territory and capture cities, such as Basra.",400.txt
What civilizations formed in Iran during 3200-2800 BC,"Iran is home to one of the world's oldest civilizations, beginning with the formation of the Proto-Elamite and Elamite kingdoms in 3200–2800 BC.",400.txt
When did Cyrus the Great found the Achaemenid Empire,"The ruins of Persepolis and Pasargadae, two of the four capitals of the Achaemenid Empire, are located around the modern-day city of Shiraz.",400.txt
What is Persis known as today,"The area was greatly influenced by the Babylonian civilization, and after the emergence of the ancient Persians, soon came to be known as Persis.",400.txt
What is Iran's volunteer militia force named,"Iran has a paramilitary, volunteer militia force within the IRGC, called the Basij, which includes about 90,000 full-time, active-duty uniformed members.",400.txt
Timur established the Timurid Empire in Iran in what year,"In 1370, yet another conqueror, Timur, followed the example of Hulagu, establishing the Timurid Empire which lasted for another 156 years.",400.txt
What is Iran's official country name,"Official United States policy retains Burma as the country's name, although the State Department's website lists the country as ""Burma (Myanmar)"" and Barack Obama has referred to the country by both names.",226.txt
When was Tucson's record low,"Tucson's largest office building is 5151 East Broadway in east Tucson, completed in 1975.",390.txt
What is the Chax Press,"Examples are the Chax Press, a publisher of poetry books in trade and book arts editions, and the University of Arizona Poetry Center, which has a sizable poetry library and presents readings, conferences, and workshops.",390.txt
What is the giant letter downtown in honor of,"On Sentinel Peak (also known as ""'A' Mountain""), just west of downtown, there is a giant ""A"" in honor of the University of Arizona.",390.txt
What does Tuscon have more than most desert climates,"Perhaps the biggest sustainability problem in Tucson, with its high desert climate, is potable water supply.",390.txt
What accounting software company has a major presence in Tucson,"A major city in the Arizona Sun Corridor, Tucson is the largest city in southern Arizona, the second largest in the state after Phoenix.",390.txt
What year was Tuscon's largest office building built,"Tucson's largest office building is 5151 East Broadway in east Tucson, completed in 1975.",390.txt
Who killed Brazelton,"Most notable, however, were the two holdups committed by masked road-agent William Whitney Brazelton.",390.txt
What mountain range is north of Tucson,"Tucson is situated on an alluvial plain in the Sonoran desert, surrounded by five minor ranges of mountains: the Santa Catalina Mountains and the Tortolita Mountains to the north, the Santa Rita Mountains to the south, the Rincon Mountains to the east, and the Tucson Mountains to the west.",390.txt
What color did college freshmen paint the A,"This was followed by a paint scuffle where the ""A"" was painted various colors until the city council intervened.",390.txt
What date did William Whitney Brazelton Die ,"Most notable, however, were the two holdups committed by masked road-agent William Whitney Brazelton.",390.txt
What is burned at The Procession,"The toponym Schwyz itself is first attested in 972, as Old High German Suittes, ultimately perhaps related to suedan ""to burn"", referring to the area of forest that was burned and cleared to build.",247.txt
What was Speedway Blvd called in the 1990s,"According to David Leighton, historical writer for the Arizona Daily Star newspaper, Speedway Boulevard derives its name from an old horse racetrack, known as ""The Harlem River Speedway,"" more commonly called ""The Speedway,"" in New York City.",390.txt
What Deputy was responsible for the death of Frank Stiwell,Calatrava is also responsible for the bridge named after him in the centre of the city.,160.txt
What transit systems does Sun Link connect to,It was awarded Best Transit System in 1988 and 2005.,390.txt
What is Tucson's CBS station,They found Stilwell lying in wait for Virgil in the Tucson station and killed him on the tracks.,390.txt
What religion was Kino,The Tucson Padres played at Kino Veterans Memorial Stadium from 2011 to 2013.,390.txt
What was Tucson's population in 1920,"In 2006 the population of Pima County, in which Tucson is located, passed one million while the City of Tucson's population was 535,000.",390.txt
What is the goal of Civano,"Close by Rita Ranch and also within the city limits lies Civano, a planned development meant to showcase ecologically sound building practices and lifestyles.",390.txt
What was Tucson's population in 1940,"In 2006 the population of Pima County, in which Tucson is located, passed one million while the City of Tucson's population was 535,000.",390.txt
What area exceeded 1 million people in 2015,"As of 2015, The Greater Tucson Metro area has exceeded a population of 1 million.",390.txt
What is Tucson's ABC station,They found Stilwell lying in wait for Virgil in the Tucson station and killed him on the tracks.,390.txt
What is Tucson's daily legal paper,"Wick Communications publishes the daily legal paper The Daily Territorial, while Boulder, Colo.-based 10/13 Communications publishes Tucson Weekly (an ""alternative"" publication), Inside Tucson Business and the Explorer.",390.txt
What is Tucson's NBC station,They found Stilwell lying in wait for Virgil in the Tucson station and killed him on the tracks.,390.txt
What is the museum in Old West Tuscon ,"Moving past the Tucson Mountains, travelers find themselves in the area commonly referred to as ""west of"" Tucson or ""Old West Tucson"".",390.txt
What is the name of the lake in Southeast Tuscon,"Two smaller but still very large formations occur in the Peace River oil sands and the Cold Lake oil sands, to the west and southeast of the Athabasca oil sands, respectively.",181.txt
Who is Tucson's 'founding father',"Hugo O'Conor, the founding father of the city of Tucson, Arizona authorized the construction of a military fort in that location, Presidio San Agustín del Tucsón, on August 20, 1775 (near the present downtown Pima County Courthouse).",390.txt
On what two occasions was Tucson's record high,"Since 2009, the Tucson Festival of Books has been held annually over a two-day period in March at the University of Arizona.",390.txt
What did Leatherwood call Tucson in a telegram,"When rail service was established to the city on March 20, 1880, Leatherwood celebrated the fact by sending telegrams to various leaders, including the President of the United States and the Pope, announcing that the ""ancient and honorable pueblo"" of Tucson was now connected by rail to the outside world.",390.txt
What is Rio Nuevo,"The primary project was Rio Nuevo, a large retail and community center that has been stalled in planning for more than ten years.",390.txt
When was Fort Lowell shut down,In 1857 Tucson became a stage station on the San Antonio-San Diego Mail Line and in 1858 became 3rd division headquarters of the Butterfield Overland Mail until the line shut down in March 1861.,390.txt
Who is considered the founding father of Tuscan,"Naturalist Ulisse Aldrovandi (1522–1605) was considered the father of natural history, which included the study of plants.",222.txt
Who renovated Fort Lowell's adobe buildings,"The Bolsius family Pete, Nan and Charles Bolsius purchased and renovated surviving adobe buildings of the Fort – transforming them into spectacular artistic southwestern architectural examples.",390.txt
What water source feeds the CAP,"Since 2001, CAP water has allowed the city to remove or turn off over 80 wells.",390.txt
What park is in East Tuscon,East Tucson includes Saguaro National Park East.,390.txt
What is the southern edge of Tucson's downtown,"For the past 25 years, the Tucson Folk Festival has taken place the first Saturday and Sunday of May in downtown Tucson's El Presidio Park.",390.txt
What was Tucson's wettest year,The wettest year was 1905 with 24.17 in (614 mm) and the driest year was 1924 with 5.07 in (129 mm).,390.txt
What time of day is The Procession,"In the South, the Bahmani Sultanate was the chief rival of the Vijaynagara and gave Vijayanagara tough days many a times.",304.txt
What part of Tucson is Saguaro National Park East in,East Tucson includes Saguaro National Park East.,390.txt
What sports field is in Reid Park,"Tucson's largest park, Reid Park, is located in midtown and includes Reid Park Zoo and Hi Corbett Field.",390.txt
What does Tuscon have a high net loss of,"Tucson averages 11.8 inches (299.7 mm) of precipitation per year, more than most other locations with desert climates, but it still qualifies due to its high evapotranspiration; in other words, it experiences a high net loss of water.",390.txt
What year was South Tuscon reincorperated ,"HIV was and is an epidemic in South Africa, and ARVs at the time cost between 10,000 and 15,000 USD per patient per year.",179.txt
Who coaches the University of Arizona men's basketball team,"The University of Arizona Wildcats sports teams, most notably the men's basketball and women's softball teams have strong local interest.",390.txt
When did Tucson get the most rain in 24 hours,"The most rainfall in 24 hours was 3.93 in (100 mm) on July 29, 1958.",390.txt
When was the Casas Adobes Plaza established,Casas Adobes is centered on the historic Casas Adobes Plaza (built in 1948).,390.txt
Who publishes Tucson Weekly,"Wick Communications publishes the daily legal paper The Daily Territorial, while Boulder, Colo.-based 10/13 Communications publishes Tucson Weekly (an ""alternative"" publication), Inside Tucson Business and the Explorer.",390.txt
In what month did Tucson get the most rain,The driest conditions persist in all inner alpine valleys that receive less rain because arriving clouds lose a lot of their content while crossing the mountains before reaching these areas.,247.txt
What town is near the top of Mt. Lemmon,Near the top of Mt.,390.txt
What theme park is in Old West Tucson,"A large undulating plain extending south into the Altar Valley, rural residential development predominates, but here you will also find major attractions including Saguaro National Park West, the Arizona-Sonora Desert Museum, and the Old Tucson Studios movie set/theme park.",390.txt
In what year did Tucson get the most rain,"It is most common in developing countries, where young children get diarrhea on average three times a year.",347.txt
What group runs The Procession,"Pre-industrial societies were characterised by low productivity and short life expectancy, preventing children from participating in productive work would be more harmful to their welfare and that of their group in the long run.",273.txt
What organization advises the Tucson government on bike concerns,"Tucson and Pima County maintain an extensive network of marked bike routes, signal crossings, on-street bike lanes, mountain-biking trails, and dedicated shared-use paths.",390.txt
What community college is in southeast Tucson,Southeast Tucson continues to experience rapid residential development.,390.txt
When was the Casas Adobes Plaza built,Casas Adobes is centered on the historic Casas Adobes Plaza (built in 1948).,390.txt
What crime increased in the Tucson area in 1877,"[citation needed] From 1877 to 1878, the area suffered a rash of stagecoach robberies.",390.txt
What city is the Harlem River Speedway in,"According to David Leighton, historical writer for the Arizona Daily Star newspaper, Speedway Boulevard derives its name from an old horse racetrack, known as ""The Harlem River Speedway,"" more commonly called ""The Speedway,"" in New York City.",390.txt
Who started the Fiesta de los Vaqueros,The Fiesta de los Vaqueros marks the beginning of the rodeo season in the United States.,390.txt
What is the percentage of Native Americans in South Tuscon,The population consists of about 83% Mexican-American and 10% Native American residents.,390.txt
What is the northern edge of Tucson's downtown,"For the past 25 years, the Tucson Folk Festival has taken place the first Saturday and Sunday of May in downtown Tucson's El Presidio Park.",390.txt
When did Tucson begin offering city council candidates public funding,"Since 1985, both mayoral and council candidates have been eligible to receive matching public funds from the city.",390.txt
What do the 'Optics Valley' companies do,"Roughly 150 Tucson companies are involved in the design and manufacture of optics and optoelectronics systems, earning Tucson the nickname ""Optics Valley"".",390.txt
What is Tucson's metro area population in 2015,"As of 2015, The Greater Tucson Metro area has exceeded a population of 1 million.",390.txt
What is Tucson's metro area population in 2010,"As of 2015, The Greater Tucson Metro area has exceeded a population of 1 million.",390.txt
What season is February in Tucson,"Tucson has a desert climate (Köppen BWh), with two major seasons, summer and winter; plus three minor seasons: fall, spring, and the monsoon.",390.txt
What agency manages Tucson's water,The state manages all water in Arizona through its Arizona Department of Water Resources (ADWR).,390.txt
What mall is located in Casas Adobes,The Foothills Mall is also located on the northwest side in Casas Adobes.,390.txt
When was the Gadsden Purchase,"Arizona, south of the Gila River was legally bought from Mexico in the Gadsden Purchase on June 8, 1854.",390.txt
What is in Summerhaven,Lemmon is the town of Summerhaven.,390.txt
What kind of climate is Tuscon,"Of the other pupils, up to a third receive some kind of bursary or scholarship.",288.txt
What is the second largest city in Arizona,"A major city in the Arizona Sun Corridor, Tucson is the largest city in southern Arizona, the second largest in the state after Phoenix.",390.txt
When did the mail stagecoaches stop running,"The Overland Mail Corporation attempted to continue running, however following the Bascom Affair, devastating Apache attacks on the stations and coaches ended operations in August 1861.",390.txt
What kind of group runs The Procession,"Of the other pupils, up to a third receive some kind of bursary or scholarship.",288.txt
When did Kino found the del Bac mission,"[citation needed] Jesuit missionary Eusebio Francisco Kino visited the Santa Cruz River valley in 1692, and founded the Mission San Xavier del Bac in 1700 about 7 mi (11 km) upstream from the site of the settlement of Tucson.",390.txt
What mission did Kino found,"[citation needed] Jesuit missionary Eusebio Francisco Kino visited the Santa Cruz River valley in 1692, and founded the Mission San Xavier del Bac in 1700 about 7 mi (11 km) upstream from the site of the settlement of Tucson.",390.txt
What does Tucson use reclaimed water for,"To prevent further loss of groundwater, Tucson has been involved in water conservation and groundwater preservation efforts, shifting away from its reliance on a series of Tucson area wells in favor of conservation, consumption-based pricing for residential and commercial water use, and new wells in the more sustainable Avra Valley aquifer, northwest of the city.",390.txt
What color did Iraq War protesters paint the A,"This was followed by a paint scuffle where the ""A"" was painted various colors until the city council intervened.",390.txt
When is Tucson's city council primary,"In 2006 the population of Pima County, in which Tucson is located, passed one million while the City of Tucson's population was 535,000.",390.txt
What was Tucson's population in 1910,"The population increased gradually to 13,913 in 1910.",390.txt
What shopping center is located along Broadway,"Park Place, a recently renovated shopping center, is also located along Broadway (west of Wilmot Road).",390.txt
What is the largest populated city in Arizona,"Tucson is the second-largest populated city in Arizona behind Phoenix, both of which anchor the Arizona Sun Corridor.",390.txt
What activities are popular in the mountains of Tucson,Both road and mountain biking are popular in and around Tucson with trail areas including Starr Pass and Fantasy Island.,390.txt
What is Tucson's Fox station,They found Stilwell lying in wait for Virgil in the Tucson station and killed him on the tracks.,390.txt
When had Tucson last had as much snow as 2013,"The most recent snowfall was on February 20, 2013 when 2.0 inches of snow blanketed the city, the largest snowfall since 1987.",390.txt
What was John Roll's job title,"According to Tibetologist John Powers, Tibetan sources counter this narrative of titles granted by the Chinese to Tibetans with various titles which the Tibetans gave to the Chinese emperors and their officials.",6.txt
Alan Harrington is considered part of what generation,The artist colony attracted writers and poets including beat generation Alan Harrington and Jack Kerouac whose visit is documented in his iconic book On the Road.,390.txt
What is the southern edge of the Catalina Foothills area,"Also on the north side is the suburban community of Catalina Foothills, located in the foothills of the Santa Catalina Mountains just north of the city limits.",390.txt
Who founded the Mission San Xavier del Bac,"[citation needed] Jesuit missionary Eusebio Francisco Kino visited the Santa Cruz River valley in 1692, and founded the Mission San Xavier del Bac in 1700 about 7 mi (11 km) upstream from the site of the settlement of Tucson.",390.txt
What kind of vehicles operate on the Sun Link,"Of the other pupils, up to a third receive some kind of bursary or scholarship.",288.txt
What did the U.S. Veterans Administration build around 1910,"At about this time, the U.S. Veterans Administration had begun construction on the present Veterans Hospital.",390.txt
What area has a ski lift,"Near Summerhaven is the road to Ski Valley which hosts a ski lift, several runs, a giftshop, and nearby restaurant.",390.txt
When was South Tucson reincorporated,"It was first incorporated in 1936, and later reincorporated in 1940.",390.txt
What county is Tuscon located in,"In 2006 the population of Pima County, in which Tucson is located, passed one million while the City of Tucson's population was 535,000.",390.txt
When did the Hohokam live in the Tucson area,Between two thirds and three quarters of the population live in urban areas.,247.txt
What does the University of Arizona Poetry Center offer,"Examples are the Chax Press, a publisher of poetry books in trade and book arts editions, and the University of Arizona Poetry Center, which has a sizable poetry library and presents readings, conferences, and workshops.",390.txt
What aquifer is Tucson starting new wells in,"To prevent further loss of groundwater, Tucson has been involved in water conservation and groundwater preservation efforts, shifting away from its reliance on a series of Tucson area wells in favor of conservation, consumption-based pricing for residential and commercial water use, and new wells in the more sustainable Avra Valley aquifer, northwest of the city.",390.txt
What kind of places to ride bikes does Tucson have,"The ride called ""El Tour de Tucson"" happens in November on the Saturday before Thanksgiving.",390.txt
What is Tucson's PBS station,KUAT-TV 6 is a PBS affiliate run by the University of Arizona (as is sister station KUAS 27).,390.txt
What nature preserve is in Casas Adobes,Casas Adobes is also home to Tohono Chul Park (a nature preserve) near the intersection of North Oracle Road and West Ina Road.,390.txt
Who were probably the first group of people in Tuscan,Italians were the largest single group of foreigners with 15.6% of total foreign population.,247.txt
What railroad route passes through Tucson,The city of Tucson is also a major hub for the Union Pacific Railroad's Sunset Route that links the Los Angeles ports with the South/Southeast regions of the country.,390.txt
What is the Foothills east of,"The Foothills area is generally defined as north of River Road, east of Oracle Road, and west of Sabino Creek.",390.txt
What kind of races does Rillito Downs hold,Tracks include Tucson Raceway Park and Rillito Downs.,390.txt
What zoo is in Reid Park,"Tucson's largest park, Reid Park, is located in midtown and includes Reid Park Zoo and Hi Corbett Field.",390.txt
What is the second-largest employer in Tucson,"Much of Tucson's economic development has been centered on the development of the University of Arizona, which is currently the second largest employer in the city.",390.txt
What interstate is the West side west of ,"A combination of urban and suburban development, the West Side is generally defined as the area west of I-10.",390.txt
What are painted do to city policy ,"This was followed by a paint scuffle where the ""A"" was painted various colors until the city council intervened.",390.txt
Rita Ranch also has a planned development called what,"Close by Rita Ranch and also within the city limits lies Civano, a planned development meant to showcase ecologically sound building practices and lifestyles.",390.txt
In what year did Tuscon become a stage station,"KXCI 91.3-FM, Arizona's only community radio station, is a major partner, broadcasting from the Plaza Stage throughout the weekend.",390.txt
What mall is located in midtown,The El Con Mall is also located in the eastern part of midtown.,390.txt
When does Tucson's monsoon usually start,"The monsoon can begin any time from mid-June to late July, with an average start date around July 3.",390.txt
What was the population of Tuscon in 2006,"In 2006 the population of Pima County, in which Tucson is located, passed one million while the City of Tucson's population was 535,000.",390.txt
A monsoon can last into what month,"Generally, temperatures similar to those experienced in the northern part of Europe in summer last about 8 months, from April to November.",160.txt
What Air Force base is in Tucson,"Davis-Monthan Air Force Base, located on the southeastern edge of the city, also provides many jobs for Tucson residents.",390.txt
What mountain range is west of Tucson,"Moving past the Tucson Mountains, travelers find themselves in the area commonly referred to as ""west of"" Tucson or ""Old West Tucson"".",390.txt
Who bought the Fort Lowell sanitarium in 1928,The sanitarium was then sold to Harvey Adkins in 1928.,390.txt
"Who said Tucson is bicycle-friendly, in 2007",Central Tucson is bicycle-friendly.,390.txt
What happened in the Early Ceramic period,The Early Ceramic period occupation of Tucson saw the first extensive use of pottery vessels for cooking and storage.,390.txt
What neighborhood has historic homes,"To the east of the University of Arizona, Third Street is bike-only except for local traffic and passes by the historic homes of the Sam Hughes neighborhood.",390.txt
When did Tucson's main power plant begin operation,The Tucson Main Post Office is located at 1501 South Cherrybell Stravenue.,390.txt
Who was nearly assassinated in Casas Adobes,Casas Adobes is centered on the historic Casas Adobes Plaza (built in 1948).,390.txt
When was East Tucson developed,"Tucson's largest office building is 5151 East Broadway in east Tucson, completed in 1975.",390.txt
When did a revitalization of downtown Tucson begin,"At the end of the first decade of the 21st century, downtown Tucson underwent a revitalization effort by city planners and the business community.",390.txt
What mountains is Oro Valley next to,"Continental Ranch (Marana), Dove Mountain (Marana), and Rancho Vistoso (Oro Valley) are all masterplanned communities located in the Northwest, where thousands of residents live.",390.txt
What is the Foothills west of,"The Foothills area is generally defined as north of River Road, east of Oracle Road, and west of Sabino Creek.",390.txt
What highway is Tucson's main power plant near,Tucson's primary electrical power source is a coal and natural gas power-plant managed by Tucson Electric Power that is situated within the city limits on the south-western boundary of Davis-Monthan Air-force base adjacent to Interstate-10.,390.txt
